group_uid,group_url,found_via,group_type_manual,london_wide,sub_london,borough_name,ward_gss,lat_long_google_maps,osm_ids_merged,large_object_osm_id,place_name_manual,recoded,fb_group_name,fb_description,fb_privacy,fb_found,creation_year,creation_yymm,creation_date,fb_place,fb_group_type,stats_collection_date,members_n,lastmonth_posts,dailyposts,group_rules_str,posts_per_member,size,activity_level,posts_per_1kmember,activity_per_user_level,geoscale_l2,geoscale,geoscale_level,geoscale_type
1069575179734735,https://www.facebook.com/groups/1069575179734735/,google_search,"animal focused (inc lost & found, dog walking groups)",FALSE,,Merton,,,1712699729; 249674698; 1835118621; 31000778; 1712699729,,Morden,TRUE,"Lost And Found Dogs In Morden, Mitcham, Sutton and Carshalton",Lost and found dogs,Public,TRUE,2015,2015-03,2015-03-12T00:00:00Z,no place,General,2022-09-26,1813,44,1,"Lost And Found Dogs In Morden, Mitcham, Sutton and Carshalton	About this group	Lost and found dogs	Public	Anyone can see who's in the group and what they post.	Visible	Anyone can find this group.	no place	General	History	Group created on 12 March 2015 	See More	Members 	 	 · 	1.8K	Diane is an admin.	Activity	1 new post today	44 in the last month	1,813 total members	No new members in the last week	Created on 7 years ago",0.024,small,medium,24.26916712631,medium,town,3_suburb,3,suburb
112426216044452,https://www.facebook.com/groups/112426216044452/,google_search,"animal focused (inc lost & found, dog walking groups)",FALSE,,Havering,,,,,[borough],FALSE,Havering and Essex Dog Services,Helping to provide the missing link between Pet Owners and Pet Service Providers.	Whether you are a business advertising or a pet owner looking for a service. 	Lots of information for pet owners & business owners alike. 	The group started covering Havering & we have now added Essex as well.	These are the only areas where we will add businesses from 🐾 	See less,Private,TRUE,2017,2017-06,2017-06-29T00:00:00Z,"Havering, Havering, United Kingdom",General,2022-09-26,6475,158,6,1	All Businesses must be insured & licensed	2	2. No lost and found	3	3. No charity or Go fund me pages	4	4. Be kind..........  and polite to other members	5	Business has not been named/or is not in files,0.024,medium,medium,24.4015444015444,medium,2_borough,2_borough,2,borough
1266145193470819,https://www.facebook.com/groups/1266145193470819/,google_search,"animal focused (inc lost & found, dog walking groups)",FALSE,,Bromley,,,123921330,way/41407314,Beckenham,FALSE,Beckenham Place Park Dogs,"A group where Beckenham Place Park dog owners can ask for help in finding missing dogs, or to share dog related content.",Public,TRUE,2017,2017-03,2017-03-14T00:00:00Z,"Beckenham, Bromley, United Kingdom",General,2022-09-26,4621,214,11,"1	Type of posts	2	Charity, Rescue, Missing/Stolen/Found Dogs Posts	3	Advertising	4	Monetary, & donations	5	Comments that insult, upset or bully other members	6	Animals suffering",0.046,medium,medium,46.3103224410301,medium,5_park,5_park,5,park
1266145193470819,https://www.facebook.com/groups/1266145193470819/,google_search,"animal focused (inc lost & found, dog walking groups)",FALSE,,Bromley,,,123921330,way/41407314,Beckenham,FALSE,Beckenham Place Park Dogs,"A group where Beckenham Place Park dog owners can ask for help in finding missing dogs, or to share dog related content.",Public,TRUE,2017,2017-03,2017-03-14T00:00:00Z,"Beckenham, Bromley, United Kingdom",General,2022-09-26,4621,214,11,"1	Type of posts	2	Charity, Rescue, Missing/Stolen/Found Dogs Posts	3	Advertising	4	Monetary, & donations	5	Comments that insult, upset or bully other members	6	Animals suffering",0.046,medium,medium,46.3103224410301,medium,suburb,3_suburb,3,suburb
1313733485386781,https://www.facebook.com/groups/1313733485386781/,google_search,"animal focused (inc lost & found, dog walking groups)",FALSE,,Camden,,,1671182708,way/664755005,Hampstead,FALSE,Pooches of Hampstead Heath,"A chance for dog owners to share information, warnings and any events/meet ups taking place on the Heath.",Private,TRUE,2017,2017-02,2017-02-25T00:00:00Z,no place,General,2022-09-26,503,8,0,1	Be kind and courteous	2	No hate speech or bullying	3	No promotions or spam,0.016,small,low,15.9045725646123,medium,5_park,5_park,5,park
1313733485386781,https://www.facebook.com/groups/1313733485386781/,google_search,"animal focused (inc lost & found, dog walking groups)",FALSE,,Camden,,,1671182708,way/664755005,Hampstead,FALSE,Pooches of Hampstead Heath,"A chance for dog owners to share information, warnings and any events/meet ups taking place on the Heath.",Private,TRUE,2017,2017-02,2017-02-25T00:00:00Z,no place,General,2022-09-26,503,8,0,1	Be kind and courteous	2	No hate speech or bullying	3	No promotions or spam,0.016,small,low,15.9045725646123,medium,town,3_suburb,3,suburb
136967370365608,https://en-gb.facebook.com/groups/136967370365608; https://www.facebook.com/groups/136967370365608/,facebook_search_manual,"animal focused (inc lost & found, dog walking groups)",FALSE,,Hackney; Tower Hamlets,,,7619494308,relation/11127855,Victoria Park Village,FALSE,Hackney And Victoria Park Animal Community (HAVPAC),"Hackney And Victoria Park Animal Community (HAVPAC) is a noticeboard for lost and found pets within the local East London area. 	We also like to encourage members to share their pet photos, favourite walks, upcoming events and services worth recommending.	 	See less",Private,TRUE,2017,2017-10,2017-10-18T00:00:00Z,no place,General,2022-09-26,1369,31,0,"Hackney And Victoria Park Animal Community (HAVPAC)	About this group	Hackney And Victoria Park Animal Community (HAVPAC) is a noticeboard for lost and found pets within the local East London area. 	We also like to encourage members to share their pet photos, favourite walks, upcoming events and services worth recommending.	 	See less	Private	Only members can see who's in the group and what they post.	Visible	Anyone can find this group.	no place	General	History	Group created on 18 October 2017. Name last changed on 19 October 2017.	 	See More	Members 	 	 · 	1.4K	no admin	Activity	No new posts today	31	 in the last month	1,369 total members	No new members in the last week	Created on 	4 years ago",0.023,small,medium,22.6442658875091,medium,5_park,5_park,5,park
136967370365608,https://en-gb.facebook.com/groups/136967370365608; https://www.facebook.com/groups/136967370365608/,facebook_search_manual,"animal focused (inc lost & found, dog walking groups)",FALSE,,Hackney; Tower Hamlets,,,7619494308,relation/11127855,Victoria Park Village,FALSE,Hackney And Victoria Park Animal Community (HAVPAC),"Hackney And Victoria Park Animal Community (HAVPAC) is a noticeboard for lost and found pets within the local East London area. 	We also like to encourage members to share their pet photos, favourite walks, upcoming events and services worth recommending.	 	See less",Private,TRUE,2017,2017-10,2017-10-18T00:00:00Z,no place,General,2022-09-26,1369,31,0,"Hackney And Victoria Park Animal Community (HAVPAC)	About this group	Hackney And Victoria Park Animal Community (HAVPAC) is a noticeboard for lost and found pets within the local East London area. 	We also like to encourage members to share their pet photos, favourite walks, upcoming events and services worth recommending.	 	See less	Private	Only members can see who's in the group and what they post.	Visible	Anyone can find this group.	no place	General	History	Group created on 18 October 2017. Name last changed on 19 October 2017.	 	See More	Members 	 	 · 	1.4K	no admin	Activity	No new posts today	31	 in the last month	1,369 total members	No new members in the last week	Created on 	4 years ago",0.023,small,medium,22.6442658875091,medium,neighbourhood,4_neighbourhood,4,neighbourhood
144112859464258,https://en-gb.facebook.com/groups/144112859464258; https://www.facebook.com/groups/144112859464258/,facebook_search_manual,"animal focused (inc lost & found, dog walking groups)",FALSE,,Lewisham,,,26472011,,Hither Green,FALSE,Hither Green Cats,"Just a little place for all our feline related news.  Hither Green is in the borough of Lewisham, in London UK",Public,TRUE,2017,2017-05,2017-05-18T00:00:00Z,no place,General,2022-09-26,1407,69,3,"Hither Green Cats	About this group	Just a little place for all our feline related news.  Hither Green is in the borough of Lewisham, in London UK	Public	Anyone can see who's in the group and what they post.	Visible	Anyone can find this group.	no place	General	History	Group created on 18 May 2017	 	See More	Members 	 	 · 	1.4K	Marianne	 and 3 other members are admins.	Activity	3	 new posts today	69	 in the last month	1,407 total members	No new members in the last week	Created on 	5 years ago",0.049,small,medium,49.0405117270789,medium,suburb,3_suburb,3,suburb
1624673504487173,https://en-gb.facebook.com/groups/1624673504487173; https://www.facebook.com/groups/1624673504487173/,facebook_search_manual,"animal focused (inc lost & found, dog walking groups)",FALSE,,Wandsworth,,,2144202565,,Furzedown,FALSE,FURZEDOWN PETS - LOST & FOUND SW16/SW17,"I have created this group to help reunite lost, missing, & stolen pets with their owners in Furzedown SW London & surrounding areas.	Being a hu	…	 	See more",Public,TRUE,2015,2015-09,2015-09-10T00:00:00Z,no place,General,2022-09-26,1219,43,0,"FURZEDOWN PETS - LOST & FOUND SW16/SW17	About this group	I have created this group to help reunite lost, missing, & stolen pets with their owners in Furzedown SW London & surrounding areas.	Being a hu	…	 	See more	Public	Anyone can see who's in the group and what they post.	Visible	Anyone can find this group.	no place	General	History	Group created on 10 September 2015	 	See More	Members 	 	 · 	1.2K	Aleksandra	 and 5 other members are admins.	Activity	No new posts today	43	 in the last month	1,219 total members	No new members in the last week	Created on 	7 years ago",0.035,small,medium,35.2748154224774,medium,suburb,3_suburb,3,suburb
