osm_id,name,place,geometry
107775,London,city,"c(-0.1276474, 51.5073219)"
196021,Whetstone,suburb,"c(-0.1748844, 51.6301762)"
197720,Ganwick Corner,locality,"c(-0.1870534, 51.6797241)"
198806,Totteridge,suburb,"c(-0.2008716, 51.633156)"
200088,Friern Barnet,suburb,"c(-0.1585948, 51.6128792)"
201212,Muswell Hill,suburb,"c(-0.1420768, 51.5910395)"
222466,Hendon,suburb,"c(-0.22162, 51.5897442)"
279640,Edgware,town,"c(-0.279305, 51.6107677)"
720187,Bushey,suburb,"c(-0.3622403, 51.6441535)"
13374298,Hog's Cross,locality,"c(-0.171237, 51.2877401)"
13878144,Catford,town,"c(-0.0197534, 51.4453215)"
13964265,East Ham,town,"c(0.0553201, 51.5329628)"
14698913,Leatherhead,town,"c(-0.3293689, 51.2955038)"
16231633,Hampton Hill,suburb,"c(-0.355081, 51.4278442)"
16486527,Teddington,town,"c(-0.333653, 51.4277844)"
17061510,Hanworth,suburb,"c(-0.3903611, 51.4348478)"
17061656,Bedfont,suburb,"c(-0.4334413, 51.4530683)"
18083845,Putney,town,"c(-0.2167462, 51.4625524)"
18865696,Enfield,town,"c(-0.0810175, 51.6520851)"
20962674,Hammersmith,town,"c(-0.2236401, 51.4920377)"
20962675,Barnes,suburb,"c(-0.2387441, 51.4718962)"
20992523,Watford,town,"c(-0.3957425, 51.6553875)"
21042294,Pimlico,suburb,"c(-0.1398817, 51.4889993)"
21075474,Ridge,village,"c(-0.2443431, 51.6889993)"
21090052,Richmond Gate,locality,"c(-0.2961781, 51.4501174)"
21090062,Roehampton Gate,locality,"c(-0.2571322, 51.4539934)"
21090123,Petersham Gate,locality,"c(-0.299783, 51.4462701)"
21090182,Sheen Cross,locality,"c(-0.2673408, 51.4519013)"
21099164,Richmond,town,"c(-0.3032767, 51.4613531)"
21099165,Kew,suburb,"c(-0.2919292, 51.4806629)"
21099166,Twickenham,suburb,"c(-0.3281887, 51.4467444)"
21123073,Denham,village,"c(-0.4998008, 51.5729922)"
21139877,Rickmansworth,town,"c(-0.4718406, 51.6390009)"
21262496,Croydon,town,"c(-0.101957, 51.3713049)"
21262497,Crystal Palace,suburb,"c(-0.0711328, 51.4193664)"
21315205,Tooting Graveney,neighbourhood,"c(-0.1665496, 51.4234522)"
21315206,Wandsworth,town,"c(-0.1932607, 51.4570271)"
21329597,South Wimbledon,suburb,"c(-0.1939611, 51.4163207)"
21414870,Loughton,town,"c(0.0551751, 51.6456263)"
21415113,Chingford,suburb,"c(0.0039962, 51.630887)"
21434600,Staines-upon-Thames,town,"c(-0.511044, 51.434012)"
21494027,Marlborough Gate,locality,"c(-0.1759013, 51.5114584)"
21521237,Brixton,town,"c(-0.1167959, 51.4568044)"
21521238,Streatham,town,"c(-0.1311105, 51.429769)"
21662002,Shepherd's Bush,town,"c(-0.2229007, 51.505314)"
24346793,Chevening Cross,hamlet,"c(0.1394812, 51.2928345)"
25921913,Sidcup,town,"c(0.101044, 51.4264002)"
25921914,Eltham,town,"c(0.0541253, 51.4505687)"
25921915,New Eltham,suburb,"c(0.0685289, 51.4362297)"
25921916,Mottingham,suburb,"c(0.0495702, 51.4339336)"
26049431,Bromley,town,"c(0.0148142, 51.4028046)"
26108617,Kingswood,village,"c(-0.2137814, 51.2952947)"
26389825,Albert Gate,locality,"c(-0.1585264, 51.5025715)"
26422736,Barking,town,"c(0.0804245, 51.5389922)"
26472010,Bellingham,quarter,"c(-0.0244895, 51.4311004)"
26472011,Hither Green,suburb,"c(-0.0054183, 51.4502982)"
26472012,Downham,suburb,"c(0.0064566, 51.426111)"
26472013,Catford South,suburb,"c(-0.0059785, 51.440517)"
26545978,Walworth,suburb,"c(-0.0906603, 51.4901142)"
26546003,Elephant and Castle,suburb,"c(-0.1005208, 51.4954461)"
26562606,Beddington Corner,village,"c(-0.1495322, 51.3869422)"
26562607,Hackbridge,suburb,"c(-0.1567541, 51.3796135)"
26562608,St Helier,village,"c(-0.1800574, 51.3866947)"
26602037,Chelsea Gate,locality,"c(-0.1497918, 51.4830159)"
26655025,Aveley,village,"c(0.2561792, 51.5001066)"
26674662,Wrotham,village,"c(0.3059096, 51.3099965)"
26683163,South Ockendon,town,"c(0.2827942, 51.5093771)"
26684649,North Stifford,hamlet,"c(0.3070148, 51.4975816)"
26684993,Grays,town,"c(0.3233131, 51.4780898)"
26728131,South Stifford,suburb,"c(0.301663, 51.4777652)"
26745366,Mayfair,suburb,"c(-0.147058, 51.5110872)"
26745371,St Giles,neighbourhood,"c(-0.1284181, 51.5154723)"
26782454,North Ockendon,village,"c(0.2936981, 51.5457699)"
26890166,Shenfield,suburb,"c(0.3255277, 51.6295286)"
27364398,Seven Sisters,neighbourhood,"c(-0.0739615, 51.5817795)"
27364686,Tottenham,suburb,"c(-0.0672892, 51.5976955)"
27364687,Crouch End,suburb,"c(-0.1235992, 51.5787402)"
27365015,West Green,suburb,"c(-0.0898489, 51.5868063)"
27365016,Stamford Hill,suburb,"c(-0.0690402, 51.5707092)"
27365017,Upper Clapton,quarter,"c(-0.0605697, 51.5668384)"
27365018,Stoke Newington,suburb,"c(-0.0822482, 51.5578698)"
27365019,Lower Clapton,quarter,"c(-0.0550912, 51.5546565)"
27365020,Islington,town,"c(-0.0999051, 51.5384287)"
27365022,Kentish Town,suburb,"c(-0.1425625, 51.5500658)"
27365023,Gospel Oak,suburb,"c(-0.1517524, 51.5536863)"
27365024,Bethnal Green,suburb,"c(-0.0561633, 51.5303456)"
27365025,Dalston,suburb,"c(-0.0760128, 51.543212)"
27365026,Haggerston,suburb,"c(-0.0740127, 51.5366603)"
27365028,Wapping,suburb,"c(-0.0587291, 51.5054363)"
27365029,Shoreditch,suburb,"c(-0.0798926, 51.5266694)"
27365030,City of London,city,"c(-0.0919983, 51.5156177)"
27365031,Clerkenwell,suburb,"c(-0.1055555, 51.5237268)"
27365033,Bloomsbury,suburb,"c(-0.1260664, 51.523126)"
27365035,Bermondsey,suburb,"c(-0.063268, 51.4970125)"
27365036,Millwall,quarter,"c(-0.0212187, 51.4933423)"
27365037,Rotherhithe,suburb,"c(-0.0436321, 51.5002908)"
27365038,Stepney,suburb,"c(-0.0462189, 51.5174023)"
27365039,Limehouse,suburb,"c(-0.0351492, 51.5133074)"
27365040,Cubitt Town,quarter,"c(-0.0082433, 51.4936677)"
27365041,Blackwall,suburb,"c(-0.0064024, 51.5065004)"
27365042,Isle of Dogs,suburb,"c(-0.0168854, 51.4978447)"
27365043,Poplar,suburb,"c(-0.0144629, 51.5110713)"
27365044,Bromley-by-Bow,quarter,"c(-0.0179722, 51.5229529)"
27365045,Bow,suburb,"c(-0.0274853, 51.5309383)"
27365046,Stratford,town,"c(0.0016208, 51.5406878)"
27365049,Leytonstone,suburb,"c(0.0064237, 51.5710783)"
27365050,Walthamstow,town,"c(-0.0188186, 51.5844701)"
27365051,Edmonton,suburb,"c(-0.0769118, 51.6267968)"
27365297,Lower Holloway,suburb,"c(-0.1148807, 51.5544402)"
27365298,Upper Holloway,suburb,"c(-0.1338683, 51.5644891)"
27365299,Highbury,suburb,"c(-0.1027127, 51.5457996)"
27365300,Barnsbury,suburb,"c(-0.114735, 51.5389351)"
27365302,Greenwich,town,"c(-0.0045417, 51.4820845)"
27365303,Charlton,suburb,"c(0.0365359, 51.4826053)"
27365305,Lewisham,town,"c(-0.0101331, 51.4624325)"
27365306,City of Westminster,city,"c(-0.137149, 51.4973206)"
27365501,Willesden,town,"c(-0.2358661, 51.5466216)"
27365505,Wembley,town,"c(-0.2957562, 51.5531547)"
27365506,Hillingdon,suburb,"c(-0.453256, 51.532563)"
27365507,Ruislip,town,"c(-0.4278453, 51.5775626)"
27365508,Uxbridge,town,"c(-0.4816672, 51.5449509)"
27365509,Harrow on the Hill,suburb,"c(-0.3406636, 51.5715948)"
27365510,Northwood,suburb,"c(-0.4205812, 51.6051713)"
27365511,Pinner,suburb,"c(-0.3770142, 51.5968712)"
27365512,Wealdstone,suburb,"c(-0.3294758, 51.5936353)"
27365513,Brentford,town,"c(-0.3216623, 51.4863958)"
27380330,Romford,town,"c(0.1822646, 51.5760462)"
27396436,South Kensington,suburb,"c(-0.1831368, 51.4955817)"
27396490,Knightsbridge,suburb,"c(-0.166965, 51.5008444)"
27467064,Whitehall,locality,"c(-0.1260826, 51.5023278)"
27467065,Fitzrovia,suburb,"c(-0.1410017, 51.5187642)"
27467066,Marylebone,suburb,"c(-0.1504553, 51.5220589)"
27467067,Chelsea,suburb,"c(-0.1687007, 51.4875167)"
27467182,Kensington,town,"c(-0.1991229, 51.4989948)"
27467184,Paddington,suburb,"c(-0.1792423, 51.5163047)"
27467185,Maida Vale,suburb,"c(-0.1905916, 51.527592)"
27481928,De Beauvoir Town,quarter,"c(-0.0801312, 51.5405639)"
27481929,Homerton,suburb,"c(-0.0399629, 51.5504686)"
27485887,Orpington,town,"c(0.1062656, 51.3805351)"
27485888,Chislehurst,suburb,"c(0.0769545, 51.4115718)"
27485890,Thamesmead,suburb,"c(0.1148486, 51.4989335)"
27485891,St Mary Cray,suburb,"c(0.1138557, 51.3954765)"
27485892,Bexley,suburb,"c(0.150488, 51.4416793)"
27485893,Erith,suburb,"c(0.1823013, 51.4775613)"
27485894,Bexleyheath,town,"c(0.1480552, 51.4634854)"
27485895,Dartford,town,"c(0.21807, 51.4443059)"
27485896,Eynsford,village,"c(0.2128777, 51.3676322)"
27486052,Biggin Hill,town,"c(0.0327167, 51.3166288)"
27486121,Canning Town,suburb,"c(0.0134976, 51.5181741)"
27486122,West Ham,suburb,"c(0.0077912, 51.5343247)"
27486150,Becontree,suburb,"c(0.1275378, 51.5492654)"
27486181,Rainham,suburb,"c(0.1996559, 51.5167284)"
27486184,South Hornchurch,suburb,"c(0.1912727, 51.5330916)"
27529126,Harringay,suburb,"c(-0.0996181, 51.582382)"
27529289,Chiswick,town,"c(-0.263818, 51.4923137)"
27529290,Isleworth,suburb,"c(-0.3263111, 51.4683558)"
27534857,Hanwell,suburb,"c(-0.3381584, 51.5089838)"
27535022,Greenford,suburb,"c(-0.3527601, 51.5279378)"
27535701,Harrow,town,"c(-0.337475, 51.581091)"
27536665,South Harrow,suburb,"c(-0.352919, 51.565869)"
27553615,Plaistow,suburb,"c(0.0249097, 51.5293798)"
27553702,Kennington,suburb,"c(-0.1116818, 51.4824378)"
27553707,Vauxhall,suburb,"c(-0.1229297, 51.4874834)"
27553712,Southwark,suburb,"c(-0.103458, 51.5029222)"
