FID,id,name,network,operator,public_tra,railway,wikidata,wikipedia,fare_zone,line,source_ref,station,subway,wheelchair,old_name,toilets_wh,source,train,addr_postc,platforms,light_rail,public_t_1,tram,source_nam,start_date,wikimedia_,network_su,network_tr,source_net,addr_city,postcode,website,wheelcha_1,internet_a,addr_stree,electrifie,name_fr,loc_name,name_da,amenity,bus,baby_feedi,tracks,postal_cod,ferry,tourism,usage,note,layer,owner,alt_name,operator_s,x,y
1,node/6312645092,Osterley,London Underground,TfL,station,station,Q651554,en:Osterley tube station,4,Piccadilly, ,subway,yes,no, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-0.3521981,51.4812336
2,node/6312813705,Stamford Brook,London Underground,Transport for London,station,station,Q1342356,en:Stamford Brook tube station,2,District, ,subway,yes,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-0.2458881,51.4949692
3,node/6312813706,Turnham Green,London Underground,Transport for London,station,station,Q519434,en:Turnham Green tube station,2;3,District;Piccadilly, ,subway,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-0.2546948,51.4951314
4,node/6312813707,Chiswick Park,London Underground,Transport for London,station,station,Q1074875,en:Chiswick Park tube station,3,District, ,subway,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-0.2678739,51.4945622
5,node/6340616347,Earl's Court,London Underground, ,station,station,Q1277562,en:Earl's Court tube station,1;2,District;Piccadilly,http://en.wikipedia.org/wiki/List_of_London_Underground_stations,subway,yes,yes, , , , , ,6, , , , ,1869-04-12,Category:Earl's Court tube station, , , , , , , , , , , , , , , , , , , , , , , , , , ,-0.193903,51.4916123
6,node/6340707455,Becontree,London Underground,Transport for London,station,station,Q813772,en:Becontree tube station,5,District, ,subway,yes,no, , ,Survey of 2014-09-01, ,RM9 4TP,2, , , , , , , , , ,Dagenham, , , , ,Gale Street, , , , , , , , , , , , , , , , , ,0.1265241,51.5403111
7,node/6342098119,Ruislip Manor,London Underground,London Underground,station,station,Q477733,en:Ruislip Manor tube station,6,Metropolitan;Piccadilly, ,subway,yes,no, , , , ,HA4 9AA, , , , , , , , , , , , , , , ,Victoria Road, , , , , , , , , , , , , , , , , ,-0.4117997,51.5733973
8,node/6343726718,Northolt,London Underground,Transport for London,station,station,Q1317971,en:Northolt tube station,5,Central,http://en.wikipedia.org/wiki/List_of_London_Underground_stations,subway,yes,no, , , , ,UB5 4AA, , , , , , , , , , ,Middlesex, , , , ,Mandeville Road, , , , , , , , , , , , , , , , , ,-0.3695247,51.5484582
9,node/6346221304,Perivale,London Underground, ,station,station,Q1650871,en:Perivale tube station,4,Central, ,subway,yes,no, , ,NPE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-0.3225887,51.5364952
10,node/6353333968,Woodford,London Underground, ,station,station, ,en:Woodford tube station,4,Central,http://en.wikipedia.org/wiki/List_of_London_Underground_stations,subway,yes,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.0340272,51.6068063
11,node/6357988569,Hanger Lane,London Underground, ,station,station,Q1305890,en:Hanger Lane tube station,3,Central, ,subway,yes,no, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-0.2936453,51.5303098
12,node/6358768337,Upminster Bridge,London Underground,Transport for London,station,station,Q1489665,en:Upminster Bridge tube station,6,District, ,subway,yes,no, , ,Survey of 2014-09-05, ,RM12 6PL,2, , , , , , , , , ,Hornchurch, , , , ,Upminster Road, , , , , , , , , , , , , , , , , ,0.2347689,51.5582655
13,node/6358789875,Hornchurch,London Underground,Transport for London,station,station,Q1628404,en:Hornchurch tube station,6,District, ,subway,yes,no, , ,Survey of 2014-08-31, ,RM12 6LS,2, , , , , , , , , ,Hornchurch, , , , ,Station Lane, , , , , , , , , , , , , ,1, , , ,0.2181092,51.5538747
14,node/6358823742,Dagenham East,London Underground,Transport for London,station,station,Q1157204,en:Dagenham East tube station,5,District, ,subway,yes,no, , ,Survey of 2014-08-31, , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , ,0.1649496,51.544018
15,node/6358827604,Dagenham Heathway,London Underground,Transport for London,station,station,Q1157207,en:Dagenham Heathway tube station,5,District, ,subway,yes,yes, , ,Survey of 2014-09-01, ,RM9 5AN,2, , , , , , , , , ,Dagenham, , , , ,Heathway, , , , , , , , , , , , , ,1, , , ,0.1456377,51.5415534
16,node/6361189478,Stanmore,London Underground,Transport for London,station,station,Q1757110,en:Stanmore tube station,5,Jubilee,http://en.wikipedia.org/wiki/List_of_London_Underground_stations,subway,yes,yes, , , , ,HA7 4PD, , , , , , , , , , ,Middlesex, , , , ,London Road, , , , , , , , , , , , , , , , , ,-0.3026271,51.6188526
17,node/6361199503,Canons Park,London Underground, ,station,station,Q1033599,en:Canons Park tube station,5,Jubilee, ,subway,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-0.2947453,51.6080065
18,node/6365838769,Elm Park,London Underground,Transport for London,station,station,Q1332680,en:Elm Park tube station,6,District, ,subway,yes,yes, , ,Survey of 2014-08-31, ,RM12 4RW,2, , , , , , , , , ,Hornchurch, , , , ,The Broadway, , , , , , , , , , , , , , , , , ,0.1974303,51.549579
19,node/6367227349,Leyton,London Underground,Transport for London,station,station,Q1734740,en:Leyton tube station,3,Central, ,subway,yes,no, , ,Survey of 2014-09-13, ,E10 5PS, , , , , , , , , , ,London, , , , ,High Road Leyton, , , , , , , , , , , , , , , , , ,-0.0051322,51.5568183
20,node/6367262958,East Putney,London Underground,Transport for London,station,station,Q1277984,en:East Putney tube station,2;3,District, ,subway,yes, , , , , , ,2, , , , , , , , , , , , , , ,Station Approach, , , , , , , , , , , , , , , , , ,-0.2112429,51.4586138
21,node/6368951709,Temple,London Underground,Transport for London,station,station,Q1431071,en:Temple tube station,1,District;Circle, ,subway,yes, , , , , , ,2, , , , ,1870-05-30,Category:Temple tube station, , , ,London, , , , , , , , , , , , , , , , , , , , , , ,-0.1143345,51.5109659
22,node/6391246144,Walthamstow Central,London Underground;London Overground, ,station,station,Q801582,en:Walthamstow Central station,3,Victoria, ,subway, , ,4, ,local knowledge, , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-0.0199941,51.582893
23,node/6391499992,Anerley,London Overground,station,station,station, ,en:Anerley railway station, , , , , , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-0.0655796,51.4125891
24,node/6399598539,Alperton,London Underground,Transport for London,station,station,Q1488320,en:Alperton tube station,4,Piccadilly, ,subway,yes, , , , , ,HA0 4LL, , , , , , , , , , , , , , , ,Ealing Road, , , , , , , , , , , , , , , , , ,-0.3000963,51.5408036
25,node/6400752013,Covent Garden,London Underground, ,station,station,Q38879,en:Covent Garden tube station,1,Piccadilly, ,subway,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-0.1242695,51.5130942
26,node/6401499742,St. John's Wood,London Underground,London Underground,station,station,Q1549556,en:St. John's Wood tube station,2,Jubilee, ,subway,yes,no, , ,OS, , , , , , , , , , , , , , ,https://tfl.gov.uk/tube/stop/940GZZLUSJW/st-johns-wood-underground-station, ,wlan, , , , , , , , , , , , , , , , , , ,-0.1742097,51.5353523
27,node/6402129352,East Ham,London Underground,Transport for London,station,station,Q1269975,en:East Ham tube station,3;4,District;Hammersmith & City,https//en.wikipedia.org/wiki/List_of_London_Underground_stations,subway,yes,yes, , , , , ,2, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.0526042,51.5394005
28,node/6402176065,Bromley-by-Bow,London Underground,Transport for London,station,station,Q926679,en:Bromley-by-Bow tube station,2;3,District;Hammersmith & City, ,subway,yes,no, , , , ,E3 3JJ, , ,2, , , , , , , ,London, , , , ,Blackwall Tunnel Northern Approach, , , , , , , , , , , , , , , , , ,-0.0123189,51.5246287
29,node/6402222390,Canary Wharf,London Underground,Transport for London,station,station,Q1032842,en:Canary Wharf tube station,2,Jubilee, ,subway,yes,yes, , , , , , , , , , , , , , , , , , , ,wlan, , , , , , , , , , , , , , , , , , ,-0.0186272,51.5035036
30,node/6403994178,Kensal Green,National Rail;London Underground;London Overground, ,station,station,Q800999,en:Kensal Green station,2,Bakerloo,http://en.wikipedia.org/wiki/List_of_London_railway_stations;http://en.wikipedia.org/wiki/London_Overground#Stations;http://en.wikipedia.org/wiki/List_of_London_Underground_stations#cite_note-usage-6,subway,yes,no, , , , ,NW10 5JT, , , , , , , , , ,Sign,London, , , , ,College Road, , , , , , , , , , , , , , , , , ,-0.2244449,51.5306063
31,node/6404013964,Harlesden,London Underground;London Overground, ,station,station,Q800892,en:Harlesden station,3,Bakerloo, ,subway,yes,no, , ,http://en.wikipedia.org/wiki/List_of_London_railway_stations;http://en.wikipedia.org/wiki/List_of_London_Underground_stations;http://en.wikipedia.org/wiki/London_Overground#Stations, ,NW10 7AA, , , , , , , , , , ,London, , , , ,Acton Lane, , , , , , , , , , , , , , , , , ,-0.257833,51.5363567
32,node/6404031521,West Hampstead,London Underground,London Transport,station,station,Q1857089,en:West Hampstead tube station,2,Jubilee, ,subway,yes, , , , , , , , , , ,survey, , , , , , , , , , , , , , , , , , , , , , , , ,1, , , ,-0.1899646,51.5468194
33,node/6407565244,Bermondsey,London Underground,London Underground,station,station,Q822041,en:Bermondsey tube station,2,Jubilee, ,subway,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-0.0643453,51.4977004
34,node/6407577779,Green Park,London Underground,London Underground,station,station,Q1366462,en:Green Park tube station,1,Piccadilly;Victoria;Jubilee, ,subway,yes, ,Dover Street, , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-0.1429113,51.5066192
35,node/6410085030,Uxbridge,London Underground,LU ltd. on behalf of TfL,station,station,Q1757126,en:Uxbridge tube station,6,Metropolitan;Piccadilly, ,subway,yes,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-0.4775114,51.546655
36,node/6410109228,Hillingdon,London Underground,Transport for London,station,station,Q570560,en:Hillingdon tube station,6,Metropolitan;Piccadilly,https//en.wikipedia.org/wiki/List_of_London_Underground_stations,subway,yes,yes, , , , ,UB10 9NR, , , , , , , , , , , , , , , ,Long Lane, , , , , , , , , , , , , , , ,Hillingdon (Swakeleys), ,-0.4504637,51.5536028
37,node/6410165090,Goldhawk Road,London Underground,Transport for London,station,station,Q301995,en:Goldhawk Road tube station,2,Circle;Hammersmith & City,https//en.wikipedia.org/wiki/List_of_London_Underground_stations,subway,yes, , , ,OS, ,W12 8EG, , , , , , , , , , , , , , , ,Goldhawk Road, , , , , , , , , , , , , , , , , ,-0.2265662,51.5017564
38,node/6410181628,Shepherd's Bush,London Underground,London Underground,station,station, ,en:Shepherd's Bush tube station (Central Line),2,Central, ,subway,yes, , , ,Survey of 2014-06-13, ,W12 8ND, , , , , , , , , , ,London, , , , ,Uxbridge Road, , , , , , , , , , , , , , , ,Shepherd's Bush (Central line), ,-0.2183251,51.5043576
39,node/6410209280,Latimer Road,London Underground,Transport for London,station,station,Q736375,en:Latimer Road tube station,2,Hammersmith & City;Circle,https//en.wikipedia.org/wiki/List_of_London_Underground_stations,subway,yes,no, , , , ,W10 6SZ, , , , , , , , , , , , , , , ,Bramley Road, , , , , , , , , , , , , , , , , ,-0.2177873,51.5134749
40,node/6411663490,Kilburn Park,London Underground, ,station,station,Q949382,en:Kilburn Park tube station,2,Bakerloo,http://en.wikipedia.org/wiki/List_of_London_Underground_stations#cite_note-usage-6,subway,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-0.1943721,51.5350704
41,node/6411718929,Royal Oak,London Underground,Transport for London,station,station,Q1757115,en:Royal Oak tube station,2,Circle;Hammersmith & City, ,subway,yes,no, , , , ,W2 6ET, , , , , , , , , , ,London, , , , ,Lord Hills Bridge, , , , , , , , , , , , , , , , , ,-0.1874439,51.5190222
42,node/6411776703,Bayswater,London Underground,London Underground,station,station,Q812631,en:Bayswater tube station,1,Circle;District, ,subway,yes,limited, , , , , ,2, , , , ,1868-10-01,Category:Bayswater tube station, , , , , , , , , , , , , , , , , , , , , , , , , , ,-0.1883854,51.5122764
43,node/6411792033,High Street Kensington,London Underground, ,station,station,Q634345,en:High Street Kensington tube station,1,Circle;District, ,subway,yes,no, , ,Bing, , ,2, , , , ,1868-10-01,Category:High Street Kensington tube station, , , , , , ,Step access only to all platforms from booking office and gateline., , , , , , , , , , , , , , , , , , , ,-0.1921096,51.5002995
44,node/6411992668,Gloucester Road,London Underground, ,station,station,Q1431088,en:Gloucester Road tube station,1,Circle;District;Piccadilly, ,subway,yes,no, , ,GPX;OS;survey for wheelmap 3/1/2020, , , , , , , , , , , , , , , ,Step-free from train to Circle line platforms 2 & 3 to view Mural on north retaining wall. Stairs only between platforms and to booking office and gateline., , , , , ,Gloucester Road Station, , , , , , , , , , , , , ,-0.1837696,51.4945266
